Title,,,,,,,Date,View,Link
"
Just Play 😎"
'SOLO' - JENNIE [연주 통기타 커버 Guitar Cover 코드 Chord 타브 TAB 악보] - YouTube,,,,,,,2018. 12. 2.,"159,642",https://www.youtube.com/watch?v=B6xIph0kyto&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=33&t=0s
Perfect - 10cm  [연주 통기타 커버 Guitar Cover 코드 Chord 타브 TAB 악보 ] - YouTube,,,,,,,2018. 11. 19.,"69,255",https://www.youtube.com/watch?v=t-cKE3zsS_s&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=34&t=0s
Perfect - Ed Sheeran  [연주 통기타 커버 Guitar Cover 코드 Chord 타브 TAB 악보] - YouTube,,,,,,,2018. 11. 9.,"55,407",https://www.youtube.com/watch?v=_1a0Fm4p0Vw&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=35&t=0s
도망가지마(A-teen OST) - 모트(MOTTE)  [연주 통기타 커버 Cover 코드 Chord 타브 Tab 악보 ] - YouTube,,,,,,,2018. 10. 19.,"77,716",https://www.youtube.com/watch?v=1nUgEXk1C5E&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=36&t=0s
[Just Play!] 이별길 (GOODBYE ROAD) - 아이콘 (iKON) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 10. 8.,"30,089",https://www.youtube.com/watch?v=fJUIiVsAvLI&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=37&t=0s
[Just Play!] 소년점프 - MOMMY SON (마미손)  [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 10. 2.,"76,996",https://www.youtube.com/watch?v=u5WOxvC5LdE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=38&t=0s
[Just Play!] 우리 그만하자 (The Hardest Part) - 로이킴 (Roy Kim)  [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 9. 22.,"46,973",https://www.youtube.com/watch?v=YjLaEnC6qYw&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=39&t=0s
[Just Play!] Let Her Go - Passenger [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 8. 23.,"48,604",https://www.youtube.com/watch?v=741B-TzSySI&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=40&t=0s
[Just Play!] 그때 헤어지면 돼 (Only then) -로이킴 (Roy Kim) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 8. 7.,"83,003",https://www.youtube.com/watch?v=09Ip2pVaq-E&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=41&t=0s
[Just Play!] Way Back Home - SHAUN (숀)(Acoustic ver.) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 8. 1.,"302,241",https://www.youtube.com/watch?v=Kes29uZMuNA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=42&t=0s
"[Just Play!] 스물다섯, 스물하나 (Twenty-five, Twenty-one) - 자우림 (Jaurim) [Guitar Cover｜기타 커버] - YouTube",,,,,,,2018. 7. 16.,"62,678",https://www.youtube.com/watch?v=pKww5U_fsHU&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=43&t=0s
[Just Play!] Forever Young - BLACKPINK (블랙핑크) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 7. 7.,"57,183",https://www.youtube.com/watch?v=6MCMQs2b0U8&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=44&t=0s
[Just Play!] 여행 (Travel) - 볼빨간 사춘기 (BOL4) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 7. 2.,"98,746",https://www.youtube.com/watch?v=OdelRBAOFyw&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=45&t=0s
[Just Play!] Fake Love - BTS (방탄소년단) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 6. 21.,"61,074",https://www.youtube.com/watch?v=JxcQ8yfxiLA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=46&t=0s
[Just Play!] Closer - The Chainsmokers (ft. Halsey) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 5. 5.,"87,793",https://www.youtube.com/watch?v=WI3I_44t9x0&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=47&t=0s
[Just Play!] 꽃 길 (Flower Road) - BIGBANG (빅뱅) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 3. 21.,"51,590",https://www.youtube.com/watch?v=hGnlOktX_og&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=48&t=0s
[Just Play!] 뿜뿜 (BBOOM BBOOM) - MOMOLAND (모모랜드) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 2. 20.,"326,453",https://www.youtube.com/watch?v=qeDw4t-N_R0&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=49&t=0s
[Just Play!] Instagram (인스타그램) - DEAN (딘) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2018. 2. 2.,"489,502",https://www.youtube.com/watch?v=AEQr7JdboHE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=50&t=0s
[Just Play!] 폰서트 (Phonecert) - 10CM (십센치) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 12. 29.,"607,896",https://www.youtube.com/watch?v=xkCS8Xlpc0s&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=51&t=0s
[Just Play!] 선물 (Gift) - 멜로망스 (MeloMance) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 12. 14.,"388,143",https://www.youtube.com/watch?v=Z3LzZGId6yk&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=52&t=0s
[Just Play!] 비행운 (Contrail) - 문문(MoonMoon) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 12. 2.,"292,403",https://www.youtube.com/watch?v=epUqwnXbF7Q&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=53&t=0s
[Just Play!] See You Again - Wiz Khalifa ft. Charlie Puth [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 11. 12.,"121,110",https://www.youtube.com/watch?v=O0nf6_RazSE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=54&t=0s
[Just Play!] 가을 아침 (Autumn Morning) - 아이유 (IU) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 9. 30.,"82,134",https://www.youtube.com/watch?v=axMrkgnWSRc&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=55&t=0s
[Just Play!] 좋니 (Like It) - 윤종신 (Jong Shin Yoon) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 9. 9.,"200,598",https://www.youtube.com/watch?v=2qcP0HYAGxQ&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=56&t=0s
[Just Play!] Dust In The Wind - Kansas (캔자스) [Guitar Cover｜기타 커버] - YouTube,,,,,,,2017. 8. 11.,"94,655",https://www.youtube.com/watch?v=MFyqU2HL1oE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=57&t=0s
"[Just Play!] 남이 될 수 있을까 (We Loved) - 볼빨간 사춘기, 스무살 [Guitar Cover｜기타 커버] - YouTube",,,,,,,2017. 6. 29.,"160,989",https://www.youtube.com/watch?v=o1gaWMQSjz0&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=58&t=0s
